DepartmentID,DepartmentName,Description,Status,EstablishmentDate
178975,Computer Science,Measure travel stop series.,Active,2001-07-10
318014,Engineering,Series never young.,Inactive,2013-11-24
888479,Business,Reflect real late describe.,Inactive,2003-08-15
894332,Biology,Picture determine newspaper country on conference.,Active,2015-06-30
216115,Chemistry,None against minute card.,Inactive,2023-03-16
584674,Physics,Out grow maintain forget fine.,Active,2023-09-25
289595,Mathematics,Forward partner happy.,Active,2003-01-11
102328,Law,Blood focus today.,Inactive,2004-06-08
540400,Arts,Miss series wife use.,Inactive,2000-03-18
65642,Education,Agreement deep parent learn drug glass.,Active,2002-01-04
